id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,630.0,70.2,0.0,630.0,559.8,0.0
1,0.0,0.0,0.0,55.2,21.0,26.6,55.2,34.2,0.0
2,0.0,17.0,26.0,161.2,56.0,31.4,135.2,88.2,9.0
3,0.0,45.0,92.2,211.8,46.0,40.0,119.6,120.8,47.2
4,0.0,70.6,86.0,258.2,54.8,42.4,172.2,132.8,15.4
5,0.0,91.2,114.0,254.0,56.0,19.2,140.0,106.8,22.8
6,0.0,110.8,173.4,255.2,38.6,15.6,81.8,105.8,62.6
7,0.0,127.8,165.4,384.0,72.6,51.0,218.6,183.6,37.6
8,0.0,146.2,184.8,468.6,84.6,101.4,283.8,237.8,38.6
9,0.0,167.0,239.2,371.2,59.6,20.6,132.0,144.6,72.2
10,0.0,176.8,260.6,411.2,70.6,42.4,150.6,163.8,83.8
