id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,636.2,76.4,0.0,636.2,559.8,0.0
1,0.0,0.0,0.0,90.8,21.0,26.6,90.8,69.8,0.0
2,0.0,17.0,26.0,279.4,56.0,31.4,253.4,206.4,9.0
3,0.0,45.0,105.0,298.8,46.0,40.0,193.8,207.8,60.0
4,0.0,70.6,83.2,290.0,54.8,42.4,206.8,164.6,12.6
5,0.0,91.2,107.8,294.2,56.0,19.2,186.4,147.0,16.6
6,0.0,110.8,145.6,302.2,38.6,15.6,156.6,152.8,34.8
7,0.0,127.8,286.0,478.8,72.6,51.0,192.8,278.4,158.2
8,0.0,146.2,193.2,502.4,84.6,101.4,309.2,271.6,47.0
9,0.0,167.0,216.0,371.2,59.6,20.6,155.2,144.6,49.0
10,0.0,176.8,244.6,380.4,70.6,42.4,135.8,133.0,67.8
