FCFS,FeedBackRRS,IdealSJF,RRS,SJF
153.4,126.0,93.6,129.0,125.0
21.0,21.0,21.0,21.0,21.0
56.0,56.0,56.0,56.0,56.0
46.0,46.0,46.0,46.0,46.0
54.8,54.8,54.8,54.8,54.8
56.0,56.0,56.0,56.0,56.0
38.6,38.6,38.6,38.6,38.6
72.6,72.6,72.6,72.6,72.6
84.6,84.6,84.6,84.6,84.6
59.6,59.6,59.6,59.6,59.6
70.6,70.6,70.6,70.6,70.6
155.2,155.2,155.2,155.2,155.2
50.6,50.6,50.6,50.6,50.6
75.0,75.0,75.0,75.0,75.0
67.6,67.6,67.6,67.6,67.6
81.6,81.6,81.6,81.6,81.6
94.8,94.8,94.8,94.8,94.8
73.0,73.0,73.0,73.0,73.0
48.8,48.8,48.8,48.8,48.8
112.8,112.8,112.8,112.8,112.8
54.4,54.4,54.4,54.4,54.4
