FCFS,FeedBackRRS,IdealSJF,RRS,SJF
1373.6,1373.6,1373.6,1373.6,1373.6
60.2,55.8,34.2,34.2,129.6
126.6,609.2,119.0,191.6,509.6
138.8,492.2,177.2,201.2,495.6
243.0,198.4,195.6,215.8,299.8
218.8,602.6,318.4,327.8,309.6
285.4,379.6,184.8,286.8,505.0
748.0,485.6,331.0,549.2,676.6
610.6,536.2,448.6,552.0,625.2
374.6,403.0,460.8,427.6,537.8
481.4,481.4,599.6,555.2,488.6
668.2,739.2,688.2,763.6,766.8
470.6,482.4,290.0,471.2,343.0
700.4,470.8,394.8,578.6,546.8
552.6,559.8,284.6,578.2,487.0
638.8,538.8,444.2,608.6,545.0
604.4,676.2,491.2,670.2,563.0
639.2,540.2,429.2,622.0,611.6
578.0,322.2,240.4,481.4,377.2
561.4,616.8,504.8,604.6,395.2
578.0,347.2,237.6,486.4,356.8
