id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	5	5	0	5	0	0
4	0	65	70	104	34	0	34	5	5
3	0	44	63	236	20	40	173	172	19
8	0	162	236	238	2	0	2	74	74
2	0	3	5	246	88	54	241	155	2
6	0	138	151	375	88	9	224	149	13
9	0	177	246	649	97	9	403	375	69
10	0	198	315	686	19	14	371	469	117
12	0	254	395	768	36	3	373	478	141
5	0	99	132	856	90	68	724	667	33
19	0	336	686	1073	87	78	387	650	350
13	0	273	423	1076	5	40	653	798	150
14	0	290	424	1126	118	22	702	718	134
11	0	205	321	1227	62	10	906	960	116
17	0	313	616	1556	169	81	940	1074	303
16	0	302	550	1562	135	181	1012	1125	248
18	0	335	649	1590	140	89	941	1115	314
15	0	299	486	1675	229	65	1189	1147	187
20	0	350	707	1715	112	162	1008	1253	357
7	0	152	203	1760	186	128	1557	1422	51
0	0	0	0	1760	38	0	1760	1722	0
