id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	79	26	36	79	53	0
4	0	65	99	155	17	12	56	73	34
18	0	304	394	434	9	31	40	121	90
7	1	126	126	546	46	74	420	374	0
20	1	343	353	565	19	0	212	203	10
6	1	101	101	577	31	6	476	445	0
5	2	72	89	717	35	7	628	610	17
15	2	262	373	794	53	124	421	479	111
3	3	51	51	815	74	51	764	690	0
14	3	251	276	864	52	41	588	561	25
13	3	241	244	882	48	6	638	593	3
10	3	191	191	900	65	0	709	644	0
19	4	320	330	932	55	30	602	557	10
2	5	1	1	1085	85	23	1084	999	0
12	5	223	227	1122	72	7	895	827	4
17	6	303	374	1175	71	122	801	801	71
8	7	146	146	1215	131	61	1069	938	0
9	9	185	185	1278	141	73	1093	952	0
16	10	275	277	1302	149	140	1025	878	2
11	28	209	223	1739	358	225	1516	1172	14
0	0	0	0	1739	202	0	1739	1537	0
