id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	121	28	86	121	93	0
6	0	100	128	145	17	0	17	28	28
5	0	94	100	154	23	20	54	37	6
3	0	37	63	182	46	61	119	99	26
9	0	169	182	217	6	7	35	42	13
13	0	285	289	381	17	44	92	79	4
14	0	320	339	391	14	29	52	57	19
12	0	255	313	402	36	38	89	111	58
19	0	417	433	446	13	0	13	16	16
17	0	336	351	464	34	23	113	94	15
15	0	324	464	480	16	0	16	140	140
18	0	351	359	483	25	43	124	107	8
2	0	17	23	515	96	80	492	402	6
20	0	422	446	531	41	17	85	68	24
10	0	182	190	552	52	79	362	318	8
16	0	325	604	655	51	0	51	279	279
7	0	124	245	810	86	47	565	600	121
4	0	82	107	1080	192	175	973	806	25
8	0	130	154	1086	141	289	932	815	24
11	0	195	742	1094	140	118	352	759	547
0	0	0	0	1094	20	0	1094	1074	0
