id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	1	1	0	1	0	0
2	0	39	39	49	10	0	10	0	0
5	0	95	102	153	51	0	51	7	7
4	0	75	94	198	24	25	104	99	19
8	0	159	243	304	10	8	61	135	84
18	0	318	366	393	27	0	27	48	48
16	0	296	395	415	20	0	20	99	99
20	0	369	393	460	6	49	67	85	24
7	0	126	548	656	25	6	108	505	422
9	0	162	306	670	34	14	364	474	144
11	0	171	524	793	129	11	269	493	353
15	0	292	345	805	51	174	460	462	53
3	0	58	58	832	61	10	774	713	0
6	0	107	160	906	54	63	746	745	53
14	0	247	251	1010	108	26	759	655	4
12	0	175	198	1057	103	49	859	779	23
17	0	317	553	1099	68	27	546	714	236
13	0	204	245	1198	152	60	953	842	41
10	0	164	460	1207	84	63	747	959	296
19	0	320	415	1710	367	316	1295	1023	95
0	0	0	0	1710	325	0	1710	1385	0
