id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,929.2,98.0,0.0,929.2,831.2,0.0
1,0.0,0.0,0.0,268.8,31.2,40.0,268.8,237.6,0.0
2,0.0,0.0,13.6,419.8,83.0,46.8,406.2,336.8,13.6
3,0.0,0.0,55.4,483.0,68.4,59.8,427.6,414.6,55.4
4,0.0,0.0,91.2,435.0,81.6,62.8,343.8,353.4,91.2
5,0.0,0.0,111.4,451.8,83.4,28.2,340.4,368.4,111.4
6,0.0,0.0,141.4,391.8,57.4,23.2,250.4,334.4,141.4
7,0.0,0.0,174.0,630.8,107.2,76.0,456.8,523.6,174.0
8,0.0,0.0,204.8,755.4,125.2,151.4,550.6,630.2,204.8
9,0.0,0.0,238.6,518.4,88.6,30.6,279.8,429.8,238.6
10,0.0,0.0,274.8,567.4,105.2,63.4,292.6,462.2,274.8
