id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1263.8,432.6,0.0,1263.8,831.2,0.0
1,2.2,0.0,0.0,73.2,31.2,40.0,73.2,42.0,0.0
2,6.8,82.2,82.2,231.0,83.0,46.8,148.8,65.8,0.0
3,5.2,220.2,220.2,356.6,68.4,59.8,136.4,68.0,0.0
4,6.0,346.2,346.2,560.0,81.6,62.8,213.8,132.2,0.0
5,6.2,448.2,448.2,665.8,83.4,28.2,217.6,134.2,0.0
6,4.2,543.6,543.6,690.6,57.4,23.2,147.0,89.6,0.0
7,7.2,625.8,625.8,877.8,107.2,76.0,252.0,144.8,0.0
8,8.6,715.6,715.6,1083.8,125.2,151.4,368.2,243.0,0.0
9,7.6,818.6,818.6,1006.2,88.6,30.6,187.6,99.0,0.0
10,8.2,866.4,868.6,1075.4,105.2,63.4,206.8,103.8,2.2
