id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1488.8,115.2,0.0,1488.8,1373.6,0.0
1,0.0,0.0,0.0,80.8,21.0,26.6,80.8,59.8,0.0
2,0.0,9.0,11.0,477.4,56.0,31.4,466.4,412.4,2.0
3,0.0,23.2,27.8,441.8,46.0,40.0,414.0,372.6,4.6
4,0.0,36.4,46.4,348.2,54.8,42.4,301.8,257.0,10.0
5,0.0,46.8,63.4,606.6,56.0,19.2,543.2,503.8,16.6
6,0.0,56.8,80.2,486.2,38.6,15.6,406.0,390.8,23.4
7,0.0,65.6,94.6,787.0,72.6,51.0,692.4,648.8,29.0
8,0.0,75.0,116.8,774.6,84.6,101.4,657.8,615.0,41.8
9,0.0,85.8,127.6,650.0,59.6,20.6,522.4,504.6,41.8
10,0.0,91.0,143.0,817.0,70.6,42.4,674.0,655.4,52.0
11,0.0,97.2,157.4,1124.4,155.2,73.6,967.0,872.0,60.2
12,0.0,111.0,175.8,708.8,50.6,19.4,533.0,547.2,64.8
13,0.0,129.2,197.4,854.0,75.0,90.2,656.6,649.8,68.2
14,0.0,141.0,219.6,886.8,67.6,35.8,667.2,678.2,78.6
15,0.0,149.0,233.0,941.8,81.6,73.0,708.8,711.2,84.0
16,0.0,154.4,250.0,1032.6,94.8,74.2,782.6,783.4,95.6
17,0.0,172.4,275.4,961.8,73.0,55.4,686.4,716.4,103.0
18,0.0,179.0,291.6,797.8,48.8,34.4,506.2,570.0,112.6
19,0.0,189.6,310.2,1009.2,112.8,84.8,699.0,706.8,120.6
20,0.0,202.6,331.4,858.0,54.4,61.8,526.6,601.0,128.8
