FCFS,FeedBackRRS,IdealSJF,RRS,SJF
1525.8,1480.8,1468.2,1488.8,1478.6
118.0,230.4,55.8,80.8,152.6
392.0,631.4,365.0,477.4,637.4
400.2,482.8,325.0,441.8,665.6
428.2,555.8,387.4,348.2,429.0
486.6,632.8,623.4,606.6,470.8
477.8,600.2,279.2,486.2,586.0
947.4,686.8,456.6,787.0,679.2
877.2,749.4,692.2,774.6,895.4
637.2,709.6,638.8,650.0,771.8
728.2,830.6,783.2,817.0,779.2
1021.4,1177.8,1033.6,1124.4,1077.4
712.6,660.4,524.8,708.8,544.2
999.8,732.2,619.8,854.0,900.8
874.8,898.0,536.4,886.8,786.8
972.0,909.6,705.6,941.8,868.8
963.8,1054.8,867.0,1032.6,929.2
1006.6,909.6,731.2,961.8,986.2
910.8,687.0,507.2,797.8,703.6
929.2,964.4,884.4,1009.2,884.2
974.2,724.2,556.0,858.0,681.8
