FCFS,FeedBackRRS,IdealSJF,RRS,SJF
1525.8,1480.8,1468.2,1488.8,1478.6
118.0,230.4,55.8,80.8,152.6
378.4,622.4,270.6,466.4,623.8
355.8,455.6,154.8,414.0,482.4
352.4,515.6,251.2,301.8,339.4
396.8,582.4,353.0,543.2,332.4
361.0,533.4,70.4,406.0,517.6
803.2,598.4,302.8,692.4,402.8
691.2,645.2,351.2,657.8,623.4
425.0,578.0,294.2,522.4,446.4
490.4,628.6,315.2,674.0,337.6
744.6,1015.0,674.0,967.0,534.6
393.0,472.8,279.2,533.0,360.2
658.2,569.4,377.2,656.6,541.4
517.6,692.8,180.0,667.2,617.2
589.6,653.4,331.8,708.8,609.6
553.6,861.0,427.6,782.6,484.0
553.8,660.6,428.4,686.4,549.0
433.6,485.4,282.4,506.2,396.8
430.8,743.2,548.8,699.0,399.2
439.2,478.6,264.6,526.6,457.0
