id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	5	5	0	5	0	0
8	0	83	131	133	2	0	2	48	48
3	0	23	25	174	20	40	149	131	2
4	0	34	42	208	34	0	166	140	8
10	0	102	151	422	19	14	271	301	49
13	0	141	214	510	5	40	296	364	73
2	0	2	5	688	88	54	683	598	3
12	0	131	194	693	36	3	499	526	63
11	0	106	157	957	62	10	800	789	51
6	0	71	98	1061	88	9	963	902	27
9	0	91	133	1069	97	9	936	881	42
5	0	51	62	1131	90	68	1069	990	11
19	0	175	298	1256	87	78	958	994	123
14	0	150	225	1365	118	22	1140	1097	75
20	0	182	308	1534	112	162	1226	1240	126
18	0	174	288	1572	140	89	1284	1258	114
16	0	157	245	1596	135	181	1351	1304	88
17	0	163	265	1639	169	81	1374	1307	102
7	0	78	111	1710	186	128	1599	1446	33
15	0	155	235	1722	229	65	1487	1338	80
0	0	0	0	1722	0	0	1722	1722	0
