id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,638.6,78.8,0.0,638.6,559.8,0.0
1,0.0,0.0,0.0,55.2,21.0,26.6,55.2,34.2,0.0
2,0.0,17.0,20.4,211.4,56.0,31.4,191.0,138.4,3.4
3,0.0,45.0,47.8,236.8,46.0,40.0,189.0,145.8,2.8
4,0.0,70.6,79.6,275.0,54.8,42.4,195.4,149.6,9.0
5,0.0,91.2,104.8,329.0,56.0,19.2,224.2,181.8,13.6
6,0.0,110.8,130.8,293.4,38.6,15.6,162.6,144.0,20.0
7,0.0,127.8,151.6,427.2,72.6,51.0,275.6,226.8,23.8
8,0.0,146.2,179.2,496.4,84.6,101.4,317.2,265.6,33.0
9,0.0,167.0,202.2,398.2,59.6,20.6,196.0,171.6,35.2
10,0.0,176.8,221.0,444.8,70.6,42.4,223.8,197.4,44.2
