FCFS,FeedBackRRS,IdealSJF,RRS,SJF
1527.0,1499.6,1467.2,1502.6,1498.6
81.2,76.8,55.2,55.2,150.6
199.6,682.2,192.0,264.6,582.6
229.8,583.2,268.2,292.2,586.6
368.4,323.8,321.0,341.2,425.2
366.0,749.8,465.6,475.0,456.8
434.8,529.0,334.2,436.2,654.4
948.4,686.0,531.4,749.6,877.0
841.4,767.0,679.4,782.8,856.0
601.2,629.6,687.4,654.2,764.4
728.8,728.8,847.0,802.6,736.0
1012.0,1083.0,1032.0,1107.4,1110.6
737.0,748.8,556.4,737.6,609.4
1027.0,797.4,721.4,905.2,873.4
894.6,901.8,626.6,920.2,829.0
1010.0,910.0,815.4,979.8,916.2
998.8,1070.6,885.6,1064.6,957.4
1047.0,948.0,837.0,1029.8,1019.4
974.2,718.4,636.6,877.6,773.4
1042.4,1097.8,985.8,1085.6,876.2
1025.8,795.0,685.4,934.2,804.6
