FCFS,FeedBackRRS,IdealSJF,RRS,SJF
1527.0,1499.6,1467.2,1502.6,1498.6
81.2,76.8,55.2,55.2,150.6
173.6,665.2,166.0,244.2,556.6
165.0,538.2,175.4,244.4,473.4
276.6,246.4,235.0,261.6,342.0
250.2,655.2,351.6,370.2,349.0
265.8,418.2,83.2,305.4,507.6
748.2,553.2,366.0,598.0,375.0
619.0,618.2,358.8,603.6,652.6
330.8,462.6,285.4,452.0,525.4
434.0,549.8,332.0,581.6,354.6
683.2,880.0,709.6,873.8,631.0
354.8,525.8,247.8,471.6,352.6
621.0,543.2,360.8,599.2,499.6
469.0,620.4,166.0,585.6,540.2
556.4,598.2,373.2,631.6,583.4
516.4,765.8,361.6,700.6,517.2
497.4,598.8,383.6,617.8,496.6
384.6,346.8,267.0,446.6,384.0
430.4,717.2,509.0,628.2,372.2
355.6,394.4,247.8,448.2,373.4
