id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	71	26	36	71	45	0
4	0	65	91	213	17	12	122	131	26
5	0	72	101	277	35	7	176	170	29
6	0	101	131	313	31	6	182	181	30
2	0	1	7	390	85	23	383	304	6
18	0	304	400	572	9	31	172	259	96
20	0	343	441	591	19	0	150	229	98
3	0	51	51	659	74	51	608	534	0
7	0	126	160	743	46	74	583	571	34
13	0	241	297	863	48	6	566	574	56
10	0	191	247	879	65	0	632	623	56
14	0	251	313	885	52	41	572	582	62
12	0	223	277	972	72	7	695	677	54
19	0	320	411	980	55	30	569	605	91
15	0	262	332	1054	53	124	722	739	70
17	0	303	390	1156	71	122	766	782	87
8	0	146	189	1231	131	61	1042	954	43
9	0	185	224	1244	141	73	1020	918	39
16	0	275	358	1368	149	140	1010	944	83
11	0	209	267	1706	358	225	1439	1139	58
0	0	0	0	1706	169	0	1706	1537	0
