id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1157.6,111.0,0.0,1157.6,1046.6,0.0
1,0.0,0.0,0.0,240.4,28.2,48.4,240.4,212.2,0.0
2,0.0,8.8,13.6,430.4,78.8,65.0,416.8,342.8,4.8
3,0.0,23.0,37.4,387.8,86.6,55.4,350.4,278.2,14.4
4,0.0,30.6,51.2,836.6,165.4,141.4,785.4,640.6,20.6
5,0.0,37.2,73.6,685.2,142.2,110.2,611.6,505.8,36.4
6,0.0,40.4,95.8,824.2,121.6,185.0,728.4,662.2,55.4
7,0.0,50.4,111.8,621.8,101.8,93.0,510.0,469.6,61.4
8,0.0,64.2,142.0,752.2,163.8,167.0,610.2,524.2,77.8
9,0.0,81.8,206.6,325.6,30.6,18.4,119.0,213.2,124.8
10,0.0,89.4,225.8,801.4,127.6,141.6,575.6,584.4,136.4
