id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1192.2,145.6,0.0,1192.2,1046.6,0.0
1,0.8,0.0,0.0,210.0,28.2,48.4,210.0,181.8,0.0
2,3.8,8.8,8.8,458.0,78.8,65.0,449.2,370.4,0.0
3,4.4,23.0,23.0,472.2,86.6,55.4,449.2,362.6,0.0
4,9.6,30.6,31.0,856.2,165.4,141.4,825.2,660.2,0.4
5,7.8,37.2,59.0,766.2,142.2,110.2,707.2,586.8,21.8
6,7.2,40.4,73.8,721.8,121.6,185.0,648.0,559.8,33.4
7,5.0,50.4,106.0,608.6,101.8,93.0,502.6,456.4,55.6
8,10.0,64.2,84.8,752.6,163.8,167.0,667.8,524.6,20.6
9,1.8,81.8,140.2,335.8,30.6,18.4,195.6,223.4,58.4
10,8.0,89.4,115.6,824.8,127.6,141.6,709.2,607.8,26.2
