id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1468.2,94.6,0.0,1468.2,1373.6,0.0
1,0.0,0.0,0.0,55.8,21.0,26.6,55.8,34.8,0.0
2,0.0,9.0,94.4,365.0,56.0,31.4,270.6,300.0,85.4
3,0.0,23.2,170.2,325.0,46.0,40.0,154.8,255.8,147.0
4,0.0,36.4,136.2,387.4,54.8,42.4,251.2,296.2,99.8
5,0.0,46.8,270.4,623.4,56.0,19.2,353.0,520.6,223.6
6,0.0,56.8,208.8,279.2,38.6,15.6,70.4,183.8,152.0
7,0.0,65.6,153.8,456.6,72.6,51.0,302.8,318.4,88.2
8,0.0,75.0,341.0,692.2,84.6,101.4,351.2,532.6,266.0
9,0.0,85.8,344.6,638.8,59.6,20.6,294.2,493.4,258.8
10,0.0,91.0,468.0,783.2,70.6,42.4,315.2,621.6,377.0
11,0.0,97.2,359.6,1033.6,155.2,73.6,674.0,781.2,262.4
12,0.0,111.0,245.6,524.8,50.6,19.4,279.2,363.2,134.6
13,0.0,129.2,242.6,619.8,75.0,90.2,377.2,415.6,113.4
14,0.0,141.0,356.4,536.4,67.6,35.8,180.0,327.8,215.4
15,0.0,149.0,373.8,705.6,81.6,73.0,331.8,475.0,224.8
16,0.0,154.4,439.4,867.0,94.8,74.2,427.6,617.8,285.0
17,0.0,172.4,302.8,731.2,73.0,55.4,428.4,485.8,130.4
18,0.0,179.0,224.8,507.2,48.8,34.4,282.4,279.4,45.8
19,0.0,189.6,335.6,884.4,112.8,84.8,548.8,582.0,146.0
20,0.0,202.6,291.4,556.0,54.4,61.8,264.6,299.0,88.8
