id,priority,createdTime,startedTime,terminatedTime,cpuTime,blockedTime,turnaroundTime,waitingTime,responseTime
0,0.0,0.0,0.0,1195.2,148.6,0.0,1195.2,1046.6,0.0
1,0.0,0.0,0.0,153.0,28.2,48.4,153.0,124.8,0.0
2,0.0,8.8,13.6,478.8,78.8,65.0,465.2,391.2,4.8
3,0.0,23.0,125.2,487.0,86.6,55.4,361.8,377.4,102.2
4,0.0,30.6,78.4,730.0,165.4,141.4,651.6,534.0,47.8
5,0.0,37.2,102.0,690.2,142.2,110.2,588.2,510.8,64.8
6,0.0,40.4,54.2,789.6,121.6,185.0,735.4,627.6,13.8
7,0.0,50.4,188.4,641.6,101.8,93.0,453.2,489.4,138.0
8,0.0,64.2,125.6,717.0,163.8,167.0,591.4,489.0,61.4
9,0.0,81.8,191.6,294.6,30.6,18.4,103.0,182.2,109.8
10,0.0,89.4,215.0,784.4,127.6,141.6,569.4,567.4,125.6
