FCFS,FeedBackRRS,IdealSJF,RRS,SJF
1373.6,1373.6,1373.6,1373.6,1373.6
97.0,209.4,34.8,59.8,131.6
327.0,566.4,300.0,412.4,572.4
331.0,413.6,255.8,372.6,596.4
337.0,464.6,296.2,257.0,337.8
383.8,530.0,520.6,503.8,368.0
382.4,504.8,183.8,390.8,490.6
809.2,548.6,318.4,648.8,541.0
717.6,589.8,532.6,615.0,735.8
491.8,564.2,493.4,504.6,626.4
566.6,669.0,621.6,655.4,617.6
769.0,925.4,781.2,872.0,825.0
551.0,498.8,363.2,547.2,382.6
795.6,528.0,415.6,649.8,696.6
666.2,689.4,327.8,678.2,578.2
741.4,679.0,475.0,711.2,638.2
714.6,805.6,617.8,783.4,680.0
761.2,664.2,485.8,716.4,740.8
683.0,459.2,279.4,570.0,475.8
626.8,662.0,582.0,706.8,581.8
717.2,467.2,299.0,601.0,424.8
