id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	51	109	126	17	0	17	58	58
1	0	0	0	282	28	86	282	254	0
3	0	19	63	398	46	61	335	333	44
15	0	165	402	418	16	0	16	237	237
16	0	166	418	469	51	0	51	252	252
9	0	86	189	547	6	7	358	455	103
19	0	213	547	560	13	0	13	334	334
5	0	48	102	614	23	20	512	543	54
12	0	130	350	631	36	38	281	465	220
14	0	163	398	641	14	29	243	464	235
2	0	9	23	694	96	80	671	589	14
10	0	93	191	715	52	79	524	570	98
13	0	145	375	784	17	44	409	622	230
20	0	216	560	828	41	17	268	571	344
17	0	172	469	850	34	23	381	644	297
7	0	63	126	855	86	47	729	706	63
18	0	180	503	868	25	43	365	663	323
11	0	100	214	995	140	118	781	755	114
4	0	42	93	1039	192	175	946	805	51
8	0	66	170	1223	141	289	1053	1016	104
0	0	0	0	1223	149	0	1223	1074	0
