id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	13	13	14	1	0	1	0	0
4	0	34	34	42	7	0	8	1	0
6	0	55	55	59	3	0	4	1	0
12	0	89	119	125	6	0	6	30	30
7	0	57	131	194	20	0	63	117	74
17	0	208	211	316	23	24	105	85	3
3	1	18	18	383	29	38	365	336	0
9	1	73	125	403	20	0	278	310	52
1	2	0	0	515	45	11	515	470	0
18	2	220	223	577	43	9	354	314	3
14	3	136	140	682	46	61	542	500	4
15	3	140	155	724	59	2	569	525	15
19	4	230	245	745	42	0	500	473	15
5	5	49	49	862	81	1	813	732	0
20	5	248	285	933	94	81	648	591	37
11	7	84	299	1016	87	4	717	845	215
16	9	155	184	1097	119	50	913	823	29
8	8	69	89	1141	139	149	1052	933	20
13	9	131	136	1156	153	301	1020	872	5
10	11	77	208	1159	133	56	951	949	131
0	0	0	0	1159	9	0	1159	1150	0
