id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	48	53	99	23	20	46	28	5
9	0	86	88	103	6	7	15	11	2
6	0	51	103	120	17	0	17	52	52
1	0	0	0	125	28	86	125	97	0
3	0	19	23	147	46	61	124	82	4
13	0	145	147	237	17	44	90	75	2
14	0	163	178	263	14	29	85	86	15
18	0	180	182	266	25	43	84	61	2
19	0	213	266	279	13	0	13	53	53
15	0	165	319	335	16	0	16	154	154
17	0	172	188	339	34	23	151	133	16
20	0	216	279	355	41	17	76	98	63
10	0	93	154	376	52	79	222	231	61
12	0	130	376	478	36	38	102	312	246
16	0	166	619	670	51	0	51	453	453
2	0	9	427	710	96	80	283	605	418
7	0	63	485	715	86	47	230	566	422
8	0	66	76	880	141	289	804	673	10
11	0	100	806	1118	140	118	312	878	706
4	0	42	60	1159	192	175	1099	925	18
0	0	0	0	1159	85	0	1159	1074	0
