id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	5	5	0	5	0	0
4	0	34	63	97	34	0	34	29	29
8	0	83	401	403	2	0	2	318	318
13	0	141	409	509	5	40	100	363	268
3	0	23	363	516	20	40	153	473	340
10	0	102	594	631	19	14	37	510	492
12	0	131	149	654	36	3	505	487	18
19	0	175	582	870	87	78	288	608	407
5	0	51	262	926	90	68	664	785	211
11	0	106	600	963	62	10	363	795	494
6	0	71	97	1159	88	9	1062	1000	26
14	0	150	162	1341	118	22	1179	1073	12
20	0	182	224	1347	112	162	1123	1053	42
2	0	2	5	1364	88	54	1359	1274	3
7	0	78	370	1517	186	128	1147	1253	292
18	0	174	339	1545	140	89	1206	1231	165
15	0	155	275	1640	229	65	1365	1256	120
9	0	91	410	1668	97	9	1258	1480	319
16	0	157	516	1674	135	181	1158	1382	359
17	0	163	396	1722	169	81	1326	1390	233
0	0	0	0	1722	0	0	1722	1722	0
